title,released year,duration,rating,story line,watch on,watch link
Stanley Ka Dabba,2011,1h 36m,7.8,"A school-teacher, who forces children to share their food with him, forbids one from entering the school until he brings his own Tiffin/Lunch-box.",Hotstar,https://www.hotstar.com/
Thulladha Manamum Thullum,1999,2h 50m,8.3,"Kutty is a good-hearted soul, but unfortunate incidents tend to portray his ruffian side whenever he encounters the girl he loves. A bizarre incident brings them closer and yet keeps them apart.",SunNxt,https://www.sunnxt.com/
Nayak: The Real Hero,2001,3h 7m,7.8,"A man accepts a challenge by the chief minister of Maharashtra to run the state for one day, and makes such a success of it that soon he is embroiled in political intrigue.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.a0b61f6d-8a55-dad7-9892-f21cb5c6f4d5
Rock On!!,2008,2h 25m,7.7,Four friends reunite to relive their moments of glory as a rock band.,Netflix,https://www.netflix.com/watch/70110883?source=imdb
Udta Punjab,2016,2h 28m,7.7,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,N/A,N/A
Mimi,2021,2h 12m,7.9,Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,Netflix,https://www.netflix.com/watch/81267360?source=imdb
Sonchiriya,2019,2h 23m,7.9,"Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands.",N/A,N/A
Oru CBI Diary Kurippu,1988,2h 17m,7.8,"Prabhakara Varma is called upon to investigate the death of Omana, the daughter-in-law of a local businessman. It looks like a suicide but, Varma is sure that is not so.",Hotstar,https://www.hotstar.com/
Ayirathil Oruvan,2010,3h 3m,8.0,"Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty.",SunNxt,https://www.sunnxt.com/
Badla,2019,1h 58m,7.8,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,Netflix,https://www.netflix.com/watch/81112446?source=imdb
Happy Days,2007,2h 33m,7.9,A group of eight youngsters from an engineering college form an unbreakable friendship after going through various struggles.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.36b5eeea-2cb9-e047-3bdc-6c5cbdb5b3ba
Dasvidaniya,2008,1h 53m,7.8,"A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die.",N/A,N/A
Raazi,2018,2h 18m,7.7,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.d8b20b27-afaa-29cf-4f42-7c491f05dd77
